age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,final_grade
17,other,public,graduate,7.4,80.2,yes,30-60 min,no,notes,a
18,male,private,graduate,0.6,76.6,no,<15 min,yes,online videos,f
14,other,public,no formal,6.2,67.0,yes,15-30 min,no,group study,c
16,other,private,no formal,1.8,58.6,yes,<15 min,yes,mixed,e
15,other,private,post graduate,6.7,96.0,yes,<15 min,yes,group study,a
17,female,private,no formal,0.7,72.5,yes,15-30 min,yes,group study,f
18,female,public,high school,5.7,60.6,no,>60 min,yes,group study,d
15,male,public,post graduate,6.6,86.0,yes,<15 min,yes,mixed,b
18,female,public,high school,0.8,62.8,yes,30-60 min,yes,notes,f
17,other,private,graduate,6.2,63.3,yes,30-60 min,no,notes,d
18,male,private,no formal,1.4,91.4,yes,>60 min,no,notes,e
14,male,private,graduate,1.1,95.4,no,30-60 min,yes,online videos,e
19,other,public,post graduate,7.4,73.4,yes,<15 min,no,textbook,c
16,female,private,high school,7.4,81.6,no,>60 min,yes,group study,a
15,female,public,high school,6.1,68.1,yes,>60 min,yes,textbook,c
15,male,public,graduate,7.2,81.7,no,>60 min,yes,textbook,a
19,male,private,post graduate,0.6,86.4,yes,<15 min,no,notes,f
19,other,public,graduate,4.3,86.1,yes,15-30 min,no,mixed,d
14,female,public,post graduate,7.0,52.0,yes,<15 min,no,notes,c
16,other,public,diploma,7.2,54.9,yes,>60 min,yes,textbook,b
18,female,private,no formal,3.3,85.4,no,<15 min,no,group study,e
17,female,private,phd,2.9,76.6,no,>60 min,yes,textbook,e
15,male,private,post graduate,5.7,97.2,yes,30-60 min,yes,group study,c
16,female,private,no formal,1.0,55.2,yes,15-30 min,yes,coaching,f
16,male,private,high school,6.4,99.5,yes,15-30 min,no,mixed,b
15,other,private,diploma,2.4,56.7,yes,15-30 min,yes,notes,f
19,female,public,no formal,4.4,51.6,yes,<15 min,no,coaching,e
15,other,public,phd,1.9,94.9,no,<15 min,yes,coaching,e
18,female,private,high school,6.0,75.2,yes,30-60 min,yes,textbook,d
19,female,private,high school,7.7,64.3,yes,>60 min,no,notes,c
18,female,public,high school,4.6,78.6,yes,<15 min,yes,coaching,c
18,female,public,phd,7.6,68.9,yes,>60 min,no,mixed,b
14,female,private,high school,3.5,99.4,yes,<15 min,no,coaching,d
14,other,public,diploma,2.6,88.7,yes,30-60 min,yes,mixed,e
18,other,private,post graduate,6.8,82.8,no,>60 min,yes,mixed,c
18,male,private,no formal,0.8,66.1,no,<15 min,no,online videos,f
18,male,private,no formal,2.6,51.3,yes,15-30 min,no,mixed,f
16,male,public,no formal,5.7,89.9,yes,30-60 min,yes,notes,b
17,other,private,high school,1.9,52.4,no,30-60 min,no,coaching,e
14,male,public,high school,7.2,55.7,yes,>60 min,no,group study,c
15,female,public,phd,4.1,79.4,yes,15-30 min,no,group study,d
17,other,public,phd,2.3,87.8,yes,<15 min,no,coaching,e
14,male,private,graduate,3.3,70.4,yes,30-60 min,no,mixed,d
14,male,public,phd,2.6,79.5,no,15-30 min,no,online videos,e
14,male,public,no formal,5.8,98.7,yes,<15 min,yes,group study,c
15,male,private,graduate,1.3,64.1,no,<15 min,yes,online videos,e
19,male,private,diploma,6.9,52.2,yes,15-30 min,yes,online videos,c
18,female,private,no formal,1.6,61.1,yes,>60 min,yes,textbook,f
19,other,private,graduate,2.6,72.3,yes,<15 min,yes,textbook,e
15,male,private,diploma,5.2,88.9,yes,30-60 min,yes,group study,c
17,female,private,post graduate,3.2,71.0,no,15-30 min,no,textbook,d
19,male,private,diploma,4.3,79.4,yes,30-60 min,yes,textbook,d
16,male,private,diploma,4.8,78.3,yes,>60 min,yes,coaching,d
17,female,public,high school,2.4,74.4,no,15-30 min,no,online videos,e
18,other,public,diploma,4.5,58.0,yes,15-30 min,yes,textbook,d
18,male,public,no formal,7.5,53.4,yes,15-30 min,no,mixed,c
19,other,private,graduate,0.5,60.1,yes,30-60 min,yes,textbook,f
17,other,private,diploma,5.0,63.5,yes,>60 min,no,mixed,c
17,male,public,high school,2.9,59.4,yes,15-30 min,no,online videos,f
19,male,public,diploma,7.0,59.6,yes,<15 min,no,textbook,c
18,male,private,phd,1.2,80.4,yes,30-60 min,no,notes,e
16,other,private,post graduate,1.0,72.7,yes,30-60 min,yes,online videos,f
17,male,private,phd,3.5,62.5,yes,15-30 min,yes,notes,d
17,female,public,diploma,5.6,61.8,yes,15-30 min,yes,notes,c
15,female,private,diploma,0.5,57.2,no,30-60 min,no,online videos,f
17,male,private,no formal,6.6,84.6,yes,15-30 min,yes,online videos,c
17,male,public,post graduate,3.0,73.8,yes,30-60 min,no,online videos,e
19,male,private,no formal,7.4,83.2,yes,30-60 min,no,coaching,b
17,male,public,phd,7.3,68.9,yes,<15 min,no,notes,c
14,female,private,post graduate,6.2,54.3,no,<15 min,yes,coaching,c
19,other,private,diploma,6.0,91.2,no,>60 min,yes,online videos,b
17,female,private,graduate,5.0,52.1,yes,30-60 min,yes,notes,d
15,male,public,phd,6.5,68.4,yes,>60 min,no,notes,c
18,male,private,no formal,1.8,79.3,yes,30-60 min,no,mixed,e
16,other,private,post graduate,6.6,83.2,yes,15-30 min,yes,group study,b
16,other,public,phd,4.7,74.1,yes,<15 min,yes,notes,d
19,female,private,graduate,6.4,89.9,yes,>60 min,yes,online videos,c
19,female,private,graduate,4.2,74.0,yes,<15 min,no,mixed,d
17,male,public,graduate,5.2,91.8,yes,15-30 min,no,online videos,b
16,other,private,no formal,3.1,62.3,yes,15-30 min,no,online videos,e
19,male,public,phd,3.7,73.6,no,<15 min,no,mixed,e
15,male,private,high school,3.2,51.5,no,>60 min,no,group study,d
18,other,private,diploma,6.1,78.9,yes,30-60 min,no,mixed,b
17,male,private,phd,2.0,70.1,yes,30-60 min,yes,coaching,e
19,male,private,no formal,7.5,84.1,yes,15-30 min,no,notes,b
16,female,public,diploma,6.7,87.1,no,30-60 min,no,mixed,c
18,male,private,graduate,7.0,71.7,yes,>60 min,no,textbook,b
14,male,public,high school,7.4,80.4,yes,>60 min,yes,mixed,b
18,female,public,post graduate,3.8,86.6,yes,15-30 min,yes,textbook,d
14,male,private,graduate,7.2,91.8,yes,30-60 min,no,coaching,a
17,other,public,high school,3.8,55.3,yes,15-30 min,yes,online videos,d
15,male,public,high school,1.3,77.4,yes,<15 min,yes,mixed,e
19,female,public,high school,0.9,96.2,yes,30-60 min,no,notes,e
18,male,private,post graduate,1.0,64.2,yes,>60 min,no,online videos,f
14,other,private,graduate,1.9,81.4,yes,15-30 min,yes,group study,e
19,other,private,post graduate,3.2,64.1,no,>60 min,yes,mixed,e
15,other,private,post graduate,7.8,90.2,yes,>60 min,yes,mixed,b
17,male,private,post graduate,2.3,87.2,no,>60 min,no,online videos,e
14,male,private,phd,7.3,97.5,yes,<15 min,yes,coaching,a
14,other,public,graduate,6.6,84.9,yes,<15 min,no,notes,c
15,other,public,diploma,7.0,74.5,yes,15-30 min,no,online videos,b
17,male,public,post graduate,6.4,77.1,yes,30-60 min,yes,mixed,c
17,male,private,phd,7.8,89.0,yes,>60 min,yes,group study,a
19,female,private,high school,1.4,86.9,yes,15-30 min,yes,notes,e
14,female,public,diploma,4.1,55.9,yes,<15 min,yes,mixed,d
18,female,private,phd,3.1,65.0,yes,15-30 min,yes,notes,d
14,other,public,graduate,2.6,84.1,yes,15-30 min,no,textbook,e
15,female,private,no formal,3.9,55.0,yes,15-30 min,no,group study,e
15,other,private,diploma,4.1,83.0,yes,30-60 min,yes,mixed,d
14,other,public,high school,7.9,93.2,yes,<15 min,yes,textbook,a
17,female,public,diploma,2.5,68.4,yes,15-30 min,no,mixed,e
19,other,public,phd,7.3,60.9,no,<15 min,yes,group study,c
18,female,private,phd,1.8,92.7,yes,<15 min,yes,textbook,e
19,male,private,phd,5.5,74.1,yes,<15 min,yes,textbook,c
17,male,private,post graduate,2.8,91.6,yes,>60 min,no,textbook,d
14,female,private,graduate,7.7,53.9,yes,15-30 min,no,textbook,b
16,other,public,graduate,5.3,60.6,yes,>60 min,no,group study,d
18,other,private,diploma,1.0,50.1,no,<15 min,no,coaching,f
14,male,private,no formal,7.4,72.4,no,>60 min,yes,online videos,b
14,male,private,no formal,2.7,94.1,yes,30-60 min,no,mixed,d
19,female,private,graduate,7.5,82.3,yes,<15 min,yes,online videos,b
14,female,private,graduate,0.6,50.9,yes,<15 min,yes,textbook,f
19,other,private,high school,2.1,51.2,yes,15-30 min,yes,group study,e
18,male,private,no formal,2.6,86.0,yes,30-60 min,yes,group study,d
17,other,private,no formal,5.7,54.6,no,>60 min,no,mixed,d
17,female,private,high school,6.5,61.0,yes,>60 min,yes,notes,d
14,female,public,phd,5.2,84.9,yes,>60 min,no,coaching,c
16,female,private,diploma,1.0,62.4,yes,30-60 min,no,textbook,f
18,other,public,phd,3.8,74.5,yes,<15 min,yes,notes,d
19,female,private,phd,4.2,69.8,yes,<15 min,no,online videos,d
16,female,private,phd,3.2,67.2,yes,>60 min,no,notes,e
19,other,public,phd,3.6,62.6,yes,<15 min,yes,online videos,d
18,male,public,high school,4.1,70.4,no,<15 min,no,group study,d
14,female,private,phd,4.7,59.1,no,>60 min,no,group study,d
17,other,public,phd,5.2,97.7,yes,30-60 min,yes,mixed,c
17,other,private,post graduate,2.1,65.8,yes,15-30 min,no,online videos,f
17,male,private,high school,7.3,86.4,yes,15-30 min,no,group study,b
18,other,private,high school,6.7,64.6,yes,30-60 min,no,online videos,c
19,other,private,graduate,6.4,63.1,no,>60 min,yes,coaching,d
17,female,public,no formal,6.5,74.1,yes,30-60 min,no,coaching,c
15,other,public,post graduate,4.4,86.6,no,30-60 min,no,notes,c
19,female,public,diploma,7.6,50.2,yes,<15 min,yes,coaching,b
19,female,private,no formal,3.2,58.6,yes,15-30 min,yes,notes,d
18,female,private,high school,3.6,88.7,yes,15-30 min,no,online videos,d
17,male,private,diploma,6.6,67.6,yes,30-60 min,yes,mixed,c
14,other,private,graduate,7.0,92.8,yes,30-60 min,yes,notes,b
16,male,public,graduate,3.9,56.7,yes,<15 min,no,mixed,d
15,male,public,diploma,6.9,90.6,yes,<15 min,no,online videos,b
17,other,public,graduate,5.2,81.1,yes,>60 min,yes,mixed,c
18,other,public,phd,3.4,58.4,no,15-30 min,yes,mixed,d
15,female,private,diploma,7.3,50.6,yes,>60 min,yes,coaching,b
19,female,private,diploma,4.3,94.1,yes,<15 min,yes,mixed,c
14,female,private,no formal,6.9,64.4,no,15-30 min,yes,coaching,c
14,female,private,diploma,6.6,62.1,yes,30-60 min,no,mixed,b
19,female,public,high school,1.2,59.2,yes,<15 min,yes,group study,f
14,female,public,post graduate,7.0,67.8,yes,15-30 min,no,coaching,b
18,female,private,no formal,1.7,76.2,yes,15-30 min,no,textbook,e
18,female,public,graduate,6.6,73.9,yes,30-60 min,yes,coaching,c
15,other,private,post graduate,6.2,92.6,yes,15-30 min,no,notes,c
14,other,public,high school,6.0,59.9,yes,15-30 min,no,textbook,d
15,female,public,no formal,7.4,87.3,yes,30-60 min,no,textbook,a
14,female,public,post graduate,5.0,95.5,yes,<15 min,no,online videos,c
18,male,public,graduate,3.0,51.8,yes,15-30 min,no,online videos,e
19,male,public,graduate,4.9,87.6,yes,15-30 min,yes,coaching,c
19,other,public,phd,5.7,63.7,yes,15-30 min,yes,group study,d
18,female,private,no formal,3.2,72.4,yes,15-30 min,no,group study,d
18,male,private,high school,2.4,53.1,no,<15 min,yes,online videos,f
19,female,private,diploma,4.2,64.7,no,15-30 min,yes,coaching,e
18,other,public,graduate,7.2,55.6,yes,15-30 min,no,mixed,c
17,female,public,phd,5.2,61.6,yes,30-60 min,no,textbook,d
19,other,private,graduate,7.2,51.6,no,30-60 min,no,textbook,b
15,female,public,high school,4.1,96.9,yes,15-30 min,no,textbook,c
16,male,private,phd,7.6,94.8,no,15-30 min,no,group study,a
19,male,private,diploma,6.4,82.5,no,15-30 min,no,online videos,c
15,male,public,phd,3.2,66.3,yes,30-60 min,no,textbook,e
15,other,public,high school,3.9,97.2,yes,15-30 min,no,textbook,d
14,other,private,post graduate,8.0,98.6,yes,15-30 min,yes,coaching,a
15,female,private,graduate,7.7,89.7,yes,30-60 min,no,coaching,a
17,other,private,graduate,3.6,84.1,yes,>60 min,no,online videos,d
19,female,public,phd,6.8,66.4,yes,30-60 min,no,online videos,c
14,other,public,no formal,7.3,94.2,yes,>60 min,yes,online videos,a
18,other,private,high school,2.4,75.0,yes,<15 min,yes,coaching,e
18,female,private,high school,4.4,81.6,yes,>60 min,no,group study,d
19,female,private,post graduate,6.2,58.7,yes,<15 min,yes,notes,d
18,male,private,phd,1.1,51.1,yes,15-30 min,yes,mixed,f
14,other,public,phd,6.5,99.4,yes,15-30 min,yes,coaching,a
16,other,public,high school,2.1,81.1,no,15-30 min,no,mixed,e
19,male,private,high school,4.1,84.3,yes,<15 min,yes,mixed,d
19,other,public,diploma,3.3,52.5,yes,>60 min,yes,online videos,e
17,male,private,post graduate,6.1,71.1,yes,<15 min,yes,mixed,d
19,female,private,post graduate,2.2,64.2,yes,>60 min,no,group study,f
18,other,public,phd,4.0,91.8,yes,<15 min,no,online videos,d
14,male,public,post graduate,2.5,74.3,yes,30-60 min,yes,notes,e
19,male,private,phd,0.9,69.2,yes,>60 min,yes,online videos,f
15,female,public,high school,6.8,57.4,yes,30-60 min,yes,textbook,b
16,male,public,graduate,2.2,69.2,yes,15-30 min,yes,online videos,e
15,female,public,graduate,2.2,68.1,no,30-60 min,no,mixed,f
18,male,public,no formal,0.9,89.4,no,>60 min,no,notes,f
14,male,private,phd,4.3,92.4,yes,30-60 min,no,group study,c
17,male,private,no formal,2.5,69.0,yes,15-30 min,yes,mixed,e
19,other,public,phd,4.7,70.5,yes,<15 min,yes,textbook,d
18,other,public,high school,5.9,98.8,no,30-60 min,yes,group study,c
15,male,private,high school,0.8,68.9,yes,<15 min,no,coaching,e
19,male,public,graduate,2.0,81.4,yes,30-60 min,no,notes,d
16,other,private,diploma,3.4,56.7,yes,<15 min,yes,mixed,d
18,male,public,diploma,7.1,71.4,yes,<15 min,yes,coaching,b
17,female,public,phd,1.3,62.1,yes,>60 min,no,group study,f
14,other,private,post graduate,6.1,62.1,yes,>60 min,yes,notes,d
14,male,public,graduate,7.7,61.7,yes,>60 min,yes,group study,c
15,other,public,post graduate,1.1,73.7,yes,>60 min,no,coaching,f
19,male,private,post graduate,3.0,64.7,yes,>60 min,no,textbook,e
19,male,public,high school,6.3,90.8,no,30-60 min,yes,coaching,c
16,female,public,diploma,7.5,72.4,yes,>60 min,no,coaching,a
19,other,private,phd,2.4,52.7,yes,30-60 min,yes,group study,e
14,female,private,post graduate,5.3,71.9,yes,>60 min,yes,group study,c
19,male,private,no formal,6.0,55.0,yes,15-30 min,no,notes,d
15,male,private,high school,3.5,57.4,yes,30-60 min,no,coaching,d
14,other,private,high school,5.5,56.8,yes,<15 min,yes,online videos,d
18,female,private,graduate,4.6,89.6,yes,15-30 min,yes,group study,c
16,male,private,post graduate,7.5,71.5,yes,15-30 min,no,notes,b
15,female,private,diploma,4.5,50.0,yes,30-60 min,no,mixed,e
18,female,public,high school,4.4,75.6,yes,30-60 min,yes,textbook,d
15,male,public,graduate,5.5,60.1,yes,>60 min,yes,notes,d
18,male,private,high school,1.6,85.9,yes,15-30 min,yes,mixed,e
15,other,private,post graduate,4.5,97.1,no,>60 min,yes,coaching,c
14,other,private,phd,0.9,58.5,yes,>60 min,no,textbook,e
15,male,public,graduate,5.2,63.8,yes,15-30 min,no,mixed,c
17,male,public,phd,4.5,85.6,yes,30-60 min,no,group study,d
15,female,private,graduate,6.8,81.6,yes,<15 min,no,group study,c
14,female,private,post graduate,6.5,91.4,yes,<15 min,yes,textbook,c
18,female,public,phd,3.7,82.5,yes,30-60 min,no,online videos,d
16,other,private,high school,5.4,59.5,yes,<15 min,no,notes,c
16,male,public,graduate,2.8,91.8,yes,30-60 min,no,coaching,d
15,male,public,high school,3.4,58.0,yes,<15 min,no,group study,d
14,other,public,no formal,1.1,54.2,yes,30-60 min,no,mixed,f
14,other,public,high school,1.3,97.0,yes,30-60 min,no,mixed,d
18,male,private,no formal,6.6,79.2,no,>60 min,no,online videos,b
14,female,public,high school,7.8,66.6,yes,>60 min,yes,mixed,b
15,female,public,no formal,4.2,62.8,no,>60 min,no,coaching,e
19,male,private,phd,1.5,54.2,no,>60 min,no,coaching,f
16,other,public,diploma,1.2,78.0,yes,30-60 min,yes,mixed,e
18,male,public,no formal,0.8,93.5,yes,>60 min,yes,coaching,e
16,female,private,diploma,7.1,84.0,yes,>60 min,yes,coaching,b
19,female,private,post graduate,3.8,88.1,no,<15 min,no,coaching,d
18,other,private,graduate,7.1,79.9,yes,>60 min,no,mixed,c
16,male,public,no formal,3.2,50.5,yes,>60 min,yes,textbook,e
18,male,public,no formal,4.9,72.3,yes,15-30 min,no,textbook,c
16,female,private,graduate,5.6,51.8,yes,>60 min,no,textbook,d
19,other,private,phd,0.9,54.1,yes,15-30 min,yes,textbook,f
16,female,private,no formal,5.6,58.8,yes,30-60 min,yes,notes,d
19,other,public,phd,6.5,94.5,yes,<15 min,yes,online videos,b
17,female,public,no formal,0.7,60.8,yes,<15 min,yes,notes,f
17,male,public,diploma,0.9,72.6,no,>60 min,yes,group study,f
16,female,public,high school,4.4,93.8,no,15-30 min,yes,group study,d
18,other,private,diploma,7.8,83.9,yes,>60 min,yes,mixed,b
18,other,private,phd,7.8,56.6,yes,15-30 min,no,textbook,c
18,other,public,high school,1.3,73.1,yes,<15 min,no,online videos,e
18,male,public,graduate,6.2,88.5,yes,15-30 min,yes,group study,c
14,female,public,high school,6.4,72.2,no,<15 min,no,mixed,c
19,female,public,graduate,7.1,60.9,yes,30-60 min,no,online videos,c
19,female,private,no formal,0.8,82.2,no,<15 min,no,coaching,e
15,other,private,high school,7.8,70.4,yes,30-60 min,yes,textbook,c
19,other,private,phd,6.7,75.7,yes,>60 min,yes,textbook,c
17,male,private,post graduate,5.1,56.2,yes,>60 min,yes,coaching,d
15,male,private,phd,1.0,95.3,yes,30-60 min,yes,textbook,e
15,female,private,post graduate,2.3,96.1,yes,15-30 min,yes,textbook,d
16,other,public,high school,3.1,65.2,yes,30-60 min,no,textbook,d
14,other,private,diploma,6.9,64.6,yes,<15 min,no,coaching,b
18,female,private,phd,6.2,58.5,yes,>60 min,yes,notes,c
18,female,private,post graduate,7.6,79.3,yes,<15 min,no,online videos,a
18,other,private,graduate,3.7,60.0,yes,>60 min,yes,group study,e
17,other,private,phd,7.4,80.7,no,<15 min,no,mixed,a
16,male,private,no formal,7.2,97.3,yes,>60 min,yes,coaching,a
18,male,public,phd,0.6,59.0,yes,15-30 min,no,coaching,f
19,female,private,no formal,2.3,61.3,yes,<15 min,yes,group study,e
14,female,private,phd,6.5,54.6,yes,30-60 min,yes,online videos,d
16,male,public,post graduate,5.5,65.7,yes,>60 min,no,notes,c
19,male,private,diploma,2.2,94.1,yes,30-60 min,yes,group study,e
19,male,public,diploma,6.4,50.8,yes,15-30 min,no,textbook,d
19,male,private,no formal,2.9,81.8,yes,>60 min,yes,coaching,d
15,female,public,high school,5.0,69.2,no,30-60 min,no,mixed,d
16,other,private,high school,7.5,65.9,no,<15 min,yes,online videos,b
14,male,private,post graduate,2.3,58.6,yes,<15 min,yes,coaching,f
19,male,public,high school,0.9,91.6,yes,30-60 min,yes,group study,e
17,male,private,post graduate,5.5,91.1,yes,<15 min,no,online videos,b
15,other,private,high school,6.0,52.0,yes,30-60 min,yes,textbook,d
14,female,public,phd,2.8,78.8,yes,15-30 min,no,textbook,d
18,female,private,diploma,4.0,70.7,yes,15-30 min,no,online videos,e
18,male,private,post graduate,4.3,50.3,yes,30-60 min,yes,online videos,e
19,other,public,post graduate,6.6,65.3,yes,30-60 min,no,coaching,b
19,male,public,phd,5.7,59.4,yes,30-60 min,no,online videos,d
18,other,public,graduate,2.5,88.2,yes,<15 min,no,group study,e
18,other,public,diploma,2.5,72.4,yes,30-60 min,yes,notes,e
18,female,private,graduate,2.9,89.9,yes,<15 min,no,online videos,d
19,other,private,no formal,1.6,98.4,yes,15-30 min,yes,group study,d
16,other,public,phd,1.5,70.1,yes,15-30 min,no,online videos,f
18,female,public,post graduate,6.6,77.8,yes,30-60 min,yes,online videos,c
18,other,private,no formal,6.7,98.6,yes,30-60 min,no,mixed,a
14,female,public,high school,2.5,58.3,no,>60 min,yes,mixed,e
18,female,private,no formal,6.9,52.7,yes,30-60 min,no,online videos,c
16,female,public,post graduate,4.8,73.5,yes,30-60 min,no,textbook,d
14,female,private,graduate,5.8,74.4,yes,>60 min,yes,group study,c
15,male,private,no formal,7.1,96.5,yes,15-30 min,yes,notes,a
14,male,private,graduate,2.8,72.8,no,<15 min,no,mixed,e
19,male,public,diploma,5.5,72.2,no,30-60 min,yes,group study,c
18,male,public,diploma,2.8,74.9,yes,15-30 min,no,mixed,e
14,other,public,graduate,7.3,72.3,no,<15 min,yes,group study,b
17,male,public,phd,2.7,94.9,yes,30-60 min,no,online videos,d
17,other,private,phd,5.2,80.9,yes,15-30 min,no,online videos,d
17,female,private,no formal,1.9,89.8,yes,15-30 min,no,mixed,d
17,female,public,phd,3.3,57.7,yes,15-30 min,no,group study,e
19,male,public,graduate,3.1,93.8,yes,>60 min,no,online videos,d
17,other,public,high school,6.1,98.5,yes,30-60 min,no,coaching,c
17,female,private,phd,2.6,97.8,yes,<15 min,yes,coaching,d
17,female,public,diploma,3.0,99.1,yes,<15 min,yes,group study,d
16,female,public,diploma,0.6,84.9,yes,>60 min,yes,group study,e
19,other,public,phd,2.9,83.6,yes,>60 min,no,group study,d
16,female,public,graduate,2.5,53.4,yes,>60 min,no,notes,f
18,female,private,no formal,4.6,64.1,yes,<15 min,yes,online videos,d
17,other,private,no formal,3.5,89.4,yes,30-60 min,yes,textbook,d
18,other,private,post graduate,7.9,68.1,no,<15 min,yes,mixed,a
18,other,private,diploma,4.6,81.0,yes,30-60 min,no,online videos,d
18,male,private,no formal,1.0,79.3,yes,15-30 min,no,group study,e
17,other,private,no formal,6.6,79.0,yes,<15 min,no,notes,b
17,male,public,phd,0.9,68.5,no,15-30 min,yes,mixed,f
17,female,public,graduate,6.8,94.2,yes,<15 min,yes,notes,c
16,female,private,graduate,3.5,62.4,yes,>60 min,yes,notes,d
18,male,private,graduate,1.0,88.5,no,>60 min,no,textbook,e
19,male,private,diploma,7.8,51.3,yes,>60 min,yes,textbook,c
18,other,private,phd,4.2,91.9,yes,>60 min,yes,online videos,d
18,other,public,graduate,6.9,87.9,yes,>60 min,no,textbook,b
18,male,private,graduate,3.7,98.9,yes,<15 min,yes,notes,d
16,female,public,phd,4.0,56.0,yes,15-30 min,no,textbook,e
14,male,public,no formal,3.2,90.2,yes,15-30 min,yes,online videos,d
16,female,private,high school,3.3,65.5,yes,<15 min,no,mixed,e
18,male,public,post graduate,6.5,62.4,yes,<15 min,yes,notes,c
18,other,public,no formal,0.7,60.3,yes,30-60 min,no,mixed,f
17,female,private,high school,4.2,85.9,yes,<15 min,no,notes,c
18,female,private,no formal,2.5,97.1,yes,30-60 min,yes,notes,d
14,other,private,post graduate,4.7,82.6,no,30-60 min,no,coaching,c
17,female,public,phd,2.1,63.3,yes,<15 min,no,notes,e
18,male,public,high school,3.1,70.0,yes,>60 min,yes,notes,e
17,female,private,post graduate,4.5,62.1,yes,15-30 min,yes,textbook,e
18,other,public,post graduate,6.1,53.5,yes,15-30 min,no,online videos,c
16,female,public,phd,7.6,88.4,yes,<15 min,no,online videos,b
17,male,private,phd,2.3,55.2,yes,>60 min,yes,group study,e
17,male,private,diploma,4.1,82.5,yes,>60 min,yes,coaching,d
18,male,private,no formal,3.1,71.4,yes,>60 min,no,mixed,e
15,other,public,post graduate,5.0,53.6,yes,30-60 min,yes,coaching,d
15,male,private,graduate,3.2,65.1,no,30-60 min,no,notes,e
16,other,private,diploma,1.2,53.8,no,>60 min,yes,textbook,f
15,male,private,graduate,5.1,81.5,no,>60 min,no,online videos,c
16,female,public,graduate,0.8,83.4,yes,15-30 min,yes,online videos,e
16,other,private,high school,0.8,94.7,yes,<15 min,no,coaching,e
15,female,private,high school,7.1,64.3,yes,15-30 min,yes,online videos,b
16,male,private,diploma,7.0,58.8,yes,>60 min,no,mixed,c
17,male,public,diploma,4.7,73.7,yes,>60 min,yes,textbook,d
18,male,private,post graduate,0.6,90.7,yes,<15 min,yes,group study,f
15,other,private,no formal,3.1,78.3,yes,>60 min,no,mixed,e
19,male,public,high school,3.1,97.2,yes,30-60 min,yes,textbook,e
16,male,public,post graduate,5.9,54.4,yes,15-30 min,no,coaching,d
18,other,private,no formal,6.6,86.0,no,>60 min,yes,group study,c
14,female,public,post graduate,3.2,83.2,yes,<15 min,yes,group study,d
15,other,private,post graduate,3.7,62.2,yes,15-30 min,no,textbook,d
16,male,public,high school,2.2,60.4,yes,<15 min,no,group study,f
16,female,public,graduate,6.0,69.1,yes,15-30 min,no,notes,c
16,male,private,diploma,3.1,66.1,yes,>60 min,yes,online videos,e
14,female,public,high school,5.8,66.7,yes,15-30 min,yes,group study,c
16,male,private,no formal,5.8,86.1,yes,15-30 min,no,mixed,c
18,other,private,phd,1.7,54.5,no,<15 min,no,online videos,f
18,female,private,phd,7.1,87.4,yes,15-30 min,yes,online videos,a
15,male,private,phd,6.7,75.0,yes,<15 min,yes,notes,b
16,other,private,no formal,4.9,58.7,yes,30-60 min,no,textbook,c
17,male,public,phd,1.1,83.5,yes,>60 min,no,group study,e
17,other,private,graduate,1.8,68.7,yes,30-60 min,yes,coaching,f
18,female,private,graduate,1.2,56.6,no,>60 min,yes,notes,f
16,other,public,diploma,4.0,79.4,yes,15-30 min,yes,coaching,c
18,male,public,high school,2.5,66.0,yes,15-30 min,yes,mixed,d
19,other,public,high school,6.7,64.2,yes,30-60 min,no,mixed,c
15,female,public,high school,3.8,73.9,no,30-60 min,no,textbook,d
18,female,public,post graduate,3.9,76.0,yes,30-60 min,no,group study,d
15,female,public,phd,7.4,85.1,yes,30-60 min,no,textbook,a
16,male,private,phd,4.8,74.6,yes,<15 min,yes,coaching,c
17,male,public,phd,3.4,76.7,yes,15-30 min,yes,coaching,e
17,male,private,no formal,7.9,78.5,yes,<15 min,yes,notes,b
17,female,public,post graduate,4.0,96.4,yes,15-30 min,no,online videos,c
15,female,private,phd,4.8,55.1,yes,15-30 min,yes,textbook,d
14,female,private,graduate,3.4,83.2,no,>60 min,no,notes,d
19,other,private,graduate,5.5,51.9,yes,15-30 min,yes,textbook,d
19,male,private,diploma,6.3,63.0,yes,15-30 min,yes,group study,d
19,other,public,post graduate,5.2,89.5,yes,30-60 min,no,notes,d
17,other,private,post graduate,2.4,68.1,yes,>60 min,yes,coaching,f
19,male,public,graduate,7.6,51.3,yes,15-30 min,yes,textbook,c
16,other,private,no formal,4.3,75.7,no,>60 min,no,mixed,d
14,male,private,phd,6.7,71.9,no,>60 min,yes,mixed,b
15,male,private,graduate,0.6,96.3,yes,>60 min,yes,online videos,e
15,other,public,phd,4.4,97.1,yes,<15 min,yes,coaching,c
16,male,public,post graduate,7.5,63.9,yes,<15 min,yes,group study,c
19,male,private,graduate,5.7,91.0,yes,>60 min,no,textbook,c
15,male,public,post graduate,1.4,75.7,yes,15-30 min,no,mixed,f
17,male,private,high school,5.8,77.0,yes,15-30 min,no,group study,c
15,male,public,diploma,0.6,55.7,yes,<15 min,yes,online videos,f
17,other,public,no formal,3.3,91.8,yes,<15 min,no,notes,d
17,male,private,post graduate,2.3,80.3,yes,15-30 min,yes,notes,e
14,other,public,high school,2.4,97.8,yes,30-60 min,yes,coaching,d
16,male,public,no formal,0.8,89.1,yes,>60 min,no,group study,f
